Industry,Firms
Agriculture forestry fishing and hunting,1460878
Mining quarrying and oil and gas extraction,600809
Utilities,100686
Construction,16684803
Manufacturing,3461496
Wholesale trade,4123960
Retail trade,31109015
Transportation & warehousing,5792651
Information,1813506
Finance & insurance,5268526
Real estate,12524686
Professional & technical services,19577165
Management of companies & enterprises,136015
Administrative support,9309038
Educational services,2371908
Health care & social assistance,11841103
Arts entertainment & recreation,5709561
Accommodation & food services,3953590
Other services,15980540
Unclassified,147513
